epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,869.998,0.68466,0.4167,2.11001,0.91481,0.95652,0.97198,0.88137,0.42255,0.36341,1.93086,0.00114464,0.00114464,0.00114464
110,877.379,0.68532,0.43707,2.10368,0.91464,0.95652,0.9414,0.87778,0.44782,0.41599,1.86395,0.00113672,0.00113672,0.00113672
111,884.93,0.65576,0.43726,2.06627,0.91422,0.95652,0.95185,0.88299,0.44852,0.39787,1.83273,0.0011288,0.0011288,0.0011288
112,892.417,0.64295,0.42514,2.0627,0.91427,0.95652,0.97967,0.90202,0.47048,0.37878,2.21114,0.00112088,0.00112088,0.00112088
113,899.725,0.64119,0.4264,2.04384,0.9177,1,0.98633,0.91729,0.43095,0.32204,2.10017,0.00111296,0.00111296,0.00111296
114,907.076,0.67076,0.42469,2.06206,0.91817,1,0.98633,0.91377,0.4555,0.32742,1.89782,0.00110504,0.00110504,0.00110504
115,914.385,0.71262,0.44419,2.23243,0.95632,1,0.99333,0.91131,0.46873,0.30315,1.82574,0.00109712,0.00109712,0.00109712
116,921.553,0.63272,0.42179,2.07912,0.91948,1,0.97876,0.91521,0.46375,0.32876,1.79442,0.0010892,0.0010892,0.0010892
117,928.692,0.73131,0.46682,2.16152,0.91856,1,0.9729,0.90471,0.4579,0.33418,1.76834,0.00108128,0.00108128,0.00108128
118,936.12,0.65256,0.41324,2.05174,0.91972,0.99629,0.98615,0.91538,0.45836,0.33142,1.83327,0.00107336,0.00107336,0.00107336
119,943.383,0.65033,0.40306,1.99258,0.94045,0.95652,0.98647,0.9199,0.4108,0.33874,1.86483,0.00106544,0.00106544,0.00106544
120,950.788,0.71134,0.42624,2.07796,0.9137,1,0.98615,0.92831,0.40956,0.32646,1.90647,0.00105752,0.00105752,0.00105752
121,958.715,0.67941,0.4234,2.07782,0.9163,1,0.99006,0.92629,0.44375,0.31426,2.02786,0.0010496,0.0010496,0.0010496
122,966.231,0.64733,0.39907,2.03026,0.91905,0.98758,0.99006,0.90393,0.427,0.32653,1.78222,0.00104168,0.00104168,0.00104168
123,973.501,0.70451,0.45481,2.12254,0.91931,0.99099,0.98269,0.89246,0.44414,0.33742,1.7367,0.00103376,0.00103376,0.00103376
124,981.111,0.68514,0.41895,2.08847,0.91652,1,0.9769,0.89415,0.44887,0.33311,1.88117,0.00102584,0.00102584,0.00102584
125,988.389,0.67208,0.46233,2.08075,0.91535,1,0.9794,0.90419,0.43984,0.33753,1.85934,0.00101792,0.00101792,0.00101792
126,996.199,0.65437,0.42709,2.0462,0.9156,1,0.97346,0.88204,0.45365,0.34159,1.87786,0.00101,0.00101,0.00101
127,1003.54,0.65531,0.40345,1.98906,0.91526,1,0.9742,0.8867,0.42217,0.35903,1.81914,0.00100208,0.00100208,0.00100208
128,1011,0.64263,0.40174,2.01805,0.91679,1,0.9742,0.90394,0.4459,0.34347,1.76478,0.00099416,0.00099416,0.00099416
129,1018.34,0.64556,0.40022,1.97974,0.91728,1,0.9678,0.87553,0.49836,0.36232,1.74869,0.00098624,0.00098624,0.00098624
130,1025.72,0.65929,0.40349,2.03582,0.91917,1,0.971,0.9029,0.45914,0.36215,1.77782,0.00097832,0.00097832,0.00097832
131,1033.23,0.66505,0.40158,2.08809,0.91844,1,0.96976,0.91012,0.43709,0.35215,1.77445,0.0009704,0.0009704,0.0009704
132,1040.82,0.63546,0.39784,2.11766,0.91825,1,0.97557,0.90094,0.43831,0.36787,1.83742,0.00096248,0.00096248,0.00096248
133,1047.85,0.68584,0.42629,2.12638,0.91796,1,0.98633,0.91332,0.44424,0.35256,1.79423,0.00095456,0.00095456,0.00095456
134,1055.29,0.69549,0.43518,2.03514,0.99414,1,0.995,0.90893,0.43913,0.26559,1.85698,0.00094664,0.00094664,0.00094664
135,1062.35,0.60408,0.38419,2.05394,0.99715,1,0.995,0.92411,0.42342,0.27095,1.78367,0.00093872,0.00093872,0.00093872
136,1069.74,0.6193,0.39288,1.97767,0.99678,1,0.995,0.92912,0.41316,0.28513,1.74565,0.0009308,0.0009308,0.0009308
137,1077.58,0.60243,0.38021,1.97872,0.99659,1,0.995,0.937,0.41098,0.27938,1.77418,0.00092288,0.00092288,0.00092288
138,1085.24,0.62058,0.40338,1.96867,0.95753,1,0.995,0.95726,0.40515,0.28381,2.07698,0.00091496,0.00091496,0.00091496
139,1092.83,0.61704,0.41158,2.05611,0.952,0.95652,0.98168,0.93391,0.41888,0.32001,1.8387,0.00090704,0.00090704,0.00090704
140,1100.18,0.67023,0.40405,2.12523,0.95635,0.9528,0.96617,0.92109,0.4386,0.3463,1.71599,0.00089912,0.00089912,0.00089912
141,1107.59,0.66834,0.42628,2.05132,0.9564,0.95382,0.97071,0.89616,0.43701,0.33083,1.67932,0.0008912,0.0008912,0.0008912
142,1115.29,0.5942,0.37899,2.00611,0.95497,0.95652,0.98865,0.9037,0.43532,0.33387,1.83364,0.00088328,0.00088328,0.00088328
143,1122.7,0.57245,0.39562,1.98704,0.952,0.95652,0.98733,0.92372,0.3983,0.31041,1.79301,0.00087536,0.00087536,0.00087536
144,1130.58,0.63056,0.40721,2.1476,0.9477,0.95652,0.98615,0.92535,0.41143,0.31216,1.82792,0.00086744,0.00086744,0.00086744
145,1137.91,0.62135,0.40737,2.00717,0.94835,1,0.98792,0.91896,0.42861,0.33117,1.79707,0.00085952,0.00085952,0.00085952
146,1145.18,0.69882,0.41661,2.16724,0.93007,0.95652,0.98865,0.92174,0.42021,0.31737,1.73809,0.0008516,0.0008516,0.0008516
147,1152.5,0.59307,0.38233,1.97928,0.92259,0.95652,0.99038,0.93889,0.40655,0.33808,1.75383,0.00084368,0.00084368,0.00084368
148,1159.76,0.64155,0.39572,2.03165,0.88348,1,0.98647,0.92496,0.42706,0.32954,1.74204,0.00083576,0.00083576,0.00083576
149,1166.92,0.61593,0.36932,1.93356,0.88293,1,0.98647,0.93275,0.42848,0.32006,1.75746,0.00082784,0.00082784,0.00082784
150,1174.5,0.61676,0.39488,1.92113,0.88421,0.99614,0.97955,0.90257,0.43185,0.31018,1.77179,0.00081992,0.00081992,0.00081992
151,1181.86,0.64327,0.42468,2.11716,0.88259,1,0.97305,0.91258,0.42364,0.33216,1.78431,0.000812,0.000812,0.000812
152,1190.03,0.66293,0.43464,2.01253,0.90646,0.95652,0.97908,0.93306,0.36301,0.3218,1.8445,0.00080408,0.00080408,0.00080408
153,1197.41,0.63463,0.39428,2.02049,0.91898,0.98663,0.98223,0.9337,0.35349,0.32702,1.86776,0.00079616,0.00079616,0.00079616
154,1205.32,0.60813,0.38305,2.01074,0.91719,1,0.98615,0.92465,0.39074,0.31877,1.78836,0.00078824,0.00078824,0.00078824
